年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,國家公園,玉山國家公園,塔塔加遊憩區,南投縣,10008,83806,59526,63451,71541,64384,19312,34755,17392,25217,39252,53688,50449,582773
2012,國家公園,玉山國家公園,玉山管理處遊客服務中心,南投縣,10008,13262,9460,9322,10362,10233,10338,13533,10098,9042,9670,10719,16931,132970
2012,國家公園,玉山國家公園,排雲山莊,南投縣,10008,371,80,376,1476,1511,979,1868,643,1548,2128,2173,966,14119
2012,國家級風景特定區,日月潭國家風景區,日月潭環潭區,南投縣,10008,397982,744315,541968,528040,354536,248707,490345,579880,368433,405769,383647,381721,5425343
2012,國家級風景特定區,日月潭國家風景區,水里蛇窯,南投縣,10008,11000,7181,5814,5290,6270,3639,7667,8222,3965,5356,4436,6324,75164
2012,國家級風景特定區,日月潭國家風景區,車埕,南投縣,10008,156407,120204,98164,115254,98824,81001,132816,102722,95778,122002,103825,110366,1337363
2012,直轄市及縣(市)級風景特定區, -,霧社,南投縣,10008,51349,38147,31502,39889,31263,22982,69253,48756,39059,53862,45450,51779,523291
2012,直轄市及縣(市)級風景特定區, -,東埔溫泉,南投縣,10008,19660,18137,24385,28438,29859,9856,39596,23230,19303,31770,33310,17931,295475
2012,森林遊樂區, -,奧萬大國家森林遊樂區,南投縣,10008,48877,29026,8567,7638,4988,1237,3216,0,0,13892,51773,62211,231425
2012,森林遊樂區, -,惠蓀林場,南投縣,10008,15555,13978,10911,12963,12655,9450,20680,12177,12613,22762,16679,12995,173418
2012,森林遊樂區, -,溪頭自然教育園區,南投縣,10008,90648,82678,99675,117567,119051,94663,214832,147409,129458,140280,110591,102674,1449526
2012,森林遊樂區, -,合歡山國家森林遊樂區,南投縣,10008,1907,1887,1270,1770,2623,557,1242,641,684,912,1831,2278,17602
2012,宗教場所, -,中臺禪寺,南投縣,10008,277396,218539,327312,372260,329847,274657,305355,271211,205806,286532,322589,322977,3514481
2012,其他, -,九族文化村,南投縣,10008,118554,246530,136439,119156,57209,43166,125975,167775,87639,79571,75349,85697,1343060
